-20 1.968476e+01
-19 1.920089e+01
-18 1.998129e+01
-17 1.983604e+01
-16 1.966297e+01
-15 1.842737e+01
-14 1.904646e+01
-13 1.908485e+01
-12 1.869066e+01
-11 1.766150e+01
-10 1.827656e+01
-9 1.855622e+01
-8 1.893250e+01
-7 1.967560e+01
-6 1.997714e+01
-5 2.188941e+01
-4 2.406323e+01
-3 2.622212e+01
-2 2.920390e+01
-1 3.350853e+01
0 3.935411e+01
1 3.977010e+01
2 3.949358e+01
3 3.865644e+01
4 3.784666e+01
5 3.664925e+01
6 3.492959e+01
7 3.379953e+01
8 3.264979e+01
9 3.243387e+01
10 3.150278e+01
11 3.080913e+01
12 2.914284e+01
13 2.951091e+01
14 2.936704e+01
15 2.842940e+01
16 2.847849e+01
17 2.821943e+01
18 2.718039e+01
19 2.590647e+01
20 2.541999e+01
