-20 2.872334e+01
-19 2.814190e+01
-18 2.883574e+01
-17 2.979345e+01
-16 2.924261e+01
-15 2.612285e+01
-14 3.097362e+01
-13 3.222941e+01
-12 3.101345e+01
-11 2.847325e+01
-10 2.953182e+01
-9 3.308453e+01
-8 3.161111e+01
-7 3.152441e+01
-6 3.524353e+01
-5 3.883385e+01
-4 4.546564e+01
-3 5.329742e+01
-2 6.352027e+01
-1 8.242715e+01
0 1.270979e+02
1 9.007306e+01
2 7.403039e+01
3 6.077419e+01
4 5.393897e+01
5 4.880933e+01
6 4.468472e+01
7 3.986480e+01
8 3.793095e+01
9 3.592035e+01
10 3.523112e+01
11 3.295773e+01
12 3.246495e+01
13 3.278849e+01
14 3.221167e+01
15 3.053538e+01
16 2.887356e+01
17 2.820629e+01
18 2.753929e+01
19 2.800426e+01
20 2.662539e+01
