-20 9.152724e+00
-19 9.417067e+00
-18 8.726351e+00
-17 8.909053e+00
-16 7.699491e+00
-15 8.495565e+00
-14 9.571036e+00
-13 1.010196e+01
-12 1.024665e+01
-11 8.995535e+00
-10 9.456038e+00
-9 1.050814e+01
-8 1.098508e+01
-7 1.300921e+01
-6 1.392723e+01
-5 1.561124e+01
-4 1.836223e+01
-3 2.142338e+01
-2 2.422262e+01
-1 2.609258e+01
0 2.713660e+01
1 2.370464e+01
2 1.942887e+01
3 1.594321e+01
4 1.332949e+01
5 1.114305e+01
6 9.418737e+00
7 8.029922e+00
8 7.432396e+00
9 6.760799e+00
10 6.113096e+00
11 5.799234e+00
12 5.685773e+00
13 5.474161e+00
14 5.086965e+00
15 4.891424e+00
16 4.609004e+00
17 4.355898e+00
18 3.926031e+00
19 3.827667e+00
20 3.706671e+00
