-20 1.009525e+03
-19 1.009153e+03
-18 1.008928e+03
-17 1.009257e+03
-16 1.010160e+03
-15 1.010611e+03
-14 1.009787e+03
-13 1.010025e+03
-12 1.011224e+03
-11 1.010742e+03
-10 1.009883e+03
-9 1.009761e+03
-8 1.009113e+03
-7 1.008337e+03
-6 1.007417e+03
-5 1.006378e+03
-4 1.004199e+03
-3 1.002013e+03
-2 9.986710e+02
-1 9.943348e+02
0 9.878968e+02
1 9.846262e+02
2 9.818941e+02
3 9.803032e+02
4 9.789465e+02
5 9.777900e+02
6 9.771831e+02
7 9.765762e+02
8 9.755878e+02
9 9.762454e+02
10 9.764692e+02
11 9.773360e+02
12 9.777026e+02
13 9.783552e+02
14 9.792471e+02
15 9.795939e+02
16 9.795172e+02
17 9.785875e+02
18 9.797935e+02
19 9.809549e+02
20 9.819241e+02
